1.00 -0.04 -0.02 0.04 0.04 -0.01 -0.03 -0.01 -0.03 0.01 0.08 -0.01 0.07 -0.01 -0.04 -0.03 -0.04 0.01 0.02 0.14  | 1.35 0.08 -0.06 0.05 -0.07 0.00 0.04 0.03 0.04 0.37 0.58 2.26 0.16 0.82 0.02 0.09 0.02 -0.28 -0.05 -2.62 
-0.04 1.00 0.02 0.01 0.00 0.03 0.00 0.01 0.01 0.04 -0.01 -0.02 -0.03 -0.03 0.01 0.05 0.02 0.02 -0.02 -0.01  | 0.08 1.02 -0.03 0.00 -0.01 -0.02 0.00 -0.01 -0.01 0.01 0.10 0.35 0.07 0.15 -0.02 -0.04 -0.02 -0.06 0.01 -0.39 
-0.02 0.02 1.00 -0.05 -0.02 -0.02 -0.03 0.02 0.00 0.02 0.00 0.00 -0.05 0.01 -0.03 -0.04 -0.02 0.02 0.03 -0.04  | -0.06 -0.03 1.04 0.03 0.02 0.02 0.02 -0.03 0.00 -0.13 -0.17 -0.59 -0.01 -0.22 0.03 0.02 0.02 0.05 -0.02 0.69 
0.04 0.01 -0.05 1.00 0.02 0.04 -0.02 0.05 0.01 0.00 0.04 0.05 0.04 -0.01 0.02 0.00 0.01 0.01 0.03 0.10  | 0.05 0.00 0.03 1.04 -0.03 -0.05 0.03 -0.04 -0.02 0.11 0.14 0.55 0.03 0.23 -0.03 0.01 -0.02 -0.08 -0.04 -0.72 
0.04 0.00 -0.02 0.02 1.00 -0.05 0.03 -0.05 0.00 0.01 -0.04 -0.02 0.05 0.03 -0.04 0.01 0.01 0.00 -0.05 -0.01  | -0.07 -0.01 0.02 -0.03 1.02 0.05 -0.04 0.05 0.00 -0.04 -0.01 -0.18 -0.07 -0.10 0.05 -0.01 -0.01 0.04 0.06 0.23 
-0.01 0.03 -0.02 0.04 -0.05 1.00 -0.01 0.02 0.00 0.03 0.01 -0.02 -0.01 -0.02 -0.01 0.07 0.01 -0.09 0.00 0.00  | 0.00 -0.02 0.02 -0.05 0.05 1.02 0.02 -0.02 0.00 -0.06 -0.04 -0.05 0.00 -0.01 0.01 -0.08 -0.01 0.11 0.00 0.08 
-0.03 0.00 -0.03 -0.02 0.03 -0.01 1.00 -0.01 0.01 -0.01 0.01 0.03 0.00 0.02 0.02 0.04 -0.01 -0.02 0.01 0.03  | 0.04 0.00 0.02 0.03 -0.04 0.02 1.01 0.01 -0.02 0.03 0.01 0.05 0.01 0.01 -0.03 -0.05 0.01 0.00 -0.02 -0.09 
-0.01 0.01 0.02 0.05 -0.05 0.02 -0.01 1.00 0.01 -0.05 -0.04 -0.06 0.04 -0.02 0.02 0.03 0.02 -0.03 0.04 -0.05  | 0.03 -0.01 -0.03 -0.04 0.05 -0.02 0.01 1.02 -0.01 0.09 0.10 0.24 -0.03 0.09 -0.02 -0.02 -0.02 0.01 -0.04 -0.22 
-0.03 0.01 0.00 0.01 0.00 0.00 0.01 0.01 1.00 0.05 0.01 -0.04 0.04 0.03 0.03 -0.04 -0.03 0.00 0.01 -0.02  | 0.04 -0.01 0.00 -0.02 0.00 0.00 -0.02 -0.01 1.01 -0.04 -0.01 0.05 -0.04 -0.02 -0.02 0.04 0.03 0.01 -0.01 -0.01 
0.01 0.04 0.02 0.00 0.01 0.03 -0.01 -0.05 0.05 1.00 -0.08 0.02 0.05 0.02 0.03 -0.03 -0.01 0.05 -0.02 0.15  | 0.37 0.01 -0.13 0.11 -0.04 -0.06 0.03 0.09 -0.04 1.50 0.88 2.65 0.22 0.95 -0.05 0.11 -0.01 -0.37 -0.02 -3.13 
0.08 -0.01 0.00 0.04 -0.04 0.01 0.01 -0.04 0.01 -0.08 1.00 0.04 0.00 -0.03 -0.04 -0.03 0.00 -0.02 0.06 0.28  | 0.58 0.10 -0.17 0.14 -0.01 -0.04 0.01 0.10 -0.01 0.88 2.38 4.50 0.44 1.66 0.01 0.15 -0.03 -0.54 -0.12 -5.31 
-0.01 -0.02 0.00 0.05 -0.02 -0.02 0.03 -0.06 -0.04 0.02 0.04 1.00 -0.03 -0.02 -0.07 -0.06 -0.03 0.00 -0.01 0.86  | 2.26 0.35 -0.59 0.55 -0.18 -0.05 0.05 0.24 0.05 2.65 4.50 16.26 1.54 5.50 -0.04 0.49 -0.08 -1.85 -0.18 -17.84 
0.07 -0.03 -0.05 0.04 0.05 -0.01 0.00 0.04 0.04 0.05 0.00 -0.03 1.00 0.01 0.06 0.00 -0.04 0.05 0.00 0.07  | 0.16 0.07 -0.01 0.03 -0.07 0.00 0.01 -0.03 -0.04 0.22 0.44 1.54 1.18 0.54 -0.08 0.04 0.03 -0.24 -0.02 -1.77 
-0.01 -0.03 0.01 -0.01 0.03 -0.02 0.02 -0.02 0.03 0.02 -0.03 -0.02 0.01 1.00 0.01 -0.03 0.07 0.01 0.08 0.28  | 0.82 0.15 -0.22 0.23 -0.10 -0.01 0.01 0.09 -0.02 0.95 1.66 5.50 0.54 3.00 -0.04 0.18 -0.10 -0.67 -0.15 -6.43 
-0.04 0.01 -0.03 0.02 -0.04 -0.01 0.02 0.02 0.03 0.03 -0.04 -0.07 0.06 0.01 1.00 -0.04 0.05 -0.01 -0.03 -0.06  | 0.02 -0.02 0.03 -0.03 0.05 0.01 -0.03 -0.02 -0.02 -0.05 0.01 -0.04 -0.08 -0.04 1.02 0.05 -0.05 0.03 0.04 0.13 
-0.03 0.05 -0.04 0.00 0.01 0.07 0.04 0.03 -0.04 -0.03 -0.03 -0.06 0.00 -0.03 -0.04 1.00 0.01 -0.01 -0.08 -0.05  | 0.09 -0.04 0.02 0.01 -0.01 -0.08 -0.05 -0.02 0.04 0.11 0.15 0.49 0.04 0.18 0.05 1.04 -0.01 -0.05 0.07 -0.50 
-0.04 0.02 -0.02 0.01 0.01 0.01 -0.01 0.02 -0.03 -0.01 0.00 -0.03 -0.04 0.07 0.05 0.01 1.00 0.07 0.04 -0.02  | 0.02 -0.02 0.02 -0.02 -0.01 -0.01 0.01 -0.02 0.03 -0.01 -0.03 -0.08 0.03 -0.10 -0.05 -0.01 1.02 -0.07 -0.04 0.12 
0.01 0.02 0.02 0.01 0.00 -0.09 -0.02 -0.03 0.00 0.05 -0.02 0.00 0.05 0.01 -0.01 -0.01 0.07 1.00 0.01 -0.10  | -0.28 -0.06 0.05 -0.08 0.04 0.11 0.00 0.01 0.01 -0.37 -0.54 -1.85 -0.24 -0.67 0.03 -0.05 -0.07 1.25 0.01 2.18 
0.02 -0.02 0.03 0.03 -0.05 0.00 0.01 0.04 0.01 -0.02 0.06 -0.01 0.00 0.08 -0.03 -0.08 0.04 0.01 1.00 0.01  | -0.05 0.01 -0.02 -0.04 0.06 0.00 -0.02 -0.04 -0.01 -0.02 -0.12 -0.18 -0.02 -0.15 0.04 0.07 -0.04 0.01 1.03 0.24 
0.14 -0.01 -0.04 0.10 -0.01 0.00 0.03 -0.05 -0.02 0.15 0.28 0.86 0.07 0.28 -0.06 -0.05 -0.02 -0.10 0.01 1.00  | -2.62 -0.39 0.69 -0.72 0.23 0.08 -0.09 -0.22 -0.01 -3.13 -5.31 -17.84 -1.77 -6.43 0.13 -0.50 0.12 2.18 0.24 20.88 
